id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80553098,Продавец-консультант в салон сотовой связи,https://hh.ru/applicant/vacancy_response?vacancyId=80553098,full,Полная занятость,35000,,"У тебя грамотная речь и позитивное отношение к людям. - Тебе нравятся гаджеты, продажи и общение. Если у тебя нет опыта...",Выполнение плановых показателей (в том числе личные продажи). - Поддержание чистоты и порядка на торговой точке. - Помогать клиентам в выборе лучших...,noExperience,Нет опыта,3653247,Мобильный Ритейл,42.882186,132.333034,,
81641815,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641815,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81511121,"Электромеханик (Приморский край, г. Большой Камень)",https://hh.ru/applicant/vacancy_response?vacancyId=81511121,full,Полная занятость,80000,,Работник должен иметь среднее профессиональное образование по данной специальности и стаж работы не менее 3 лет.,"Ремонт, сборка, регулирование, испытание и дефектация электроагрегатов, проверка их под напряжением и без напряжения на испытательном стенде, в том числе...",between3And6,От 3 до 6 лет,3376470,Завод ВРК Сапфир,,,,
80998652,Специалист по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=80998652,full,Полная занятость,22000,25000,"Знание офисных программ – Word, умение пользоваться электронной почтой. Опыт работы в продажах будет плюсом, но не обязательно. Умение прояснить запрос...","Консультировать клиентов и продавать услуги Почты России. Принимать, обрабатывать, вручать почтовые отправления. Осуществлять денежные переводы, прием платежей, выплату пенсий и...",noExperience,Нет опыта,4352,Почта России,42.877013,132.356606,,
