id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
79969536,"Продавец-кассир (п. Ольга, Ленинская 43)",https://hh.ru/applicant/vacancy_response?vacancyId=79969536,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,43.749709,135.298023,,
80072781,"Администратор магазина (п. Ольга, Светофор)",https://hh.ru/applicant/vacancy_response?vacancyId=80072781,full,Полная занятость,55000,,Опыт работы на аналогичной должности от 1 года. Знание кассовой дисциплины. Организаторские способности. Высокая степень ответственности. Готовность работать с покупателями...,"Контроль и организация работы персонала. Приемка товара и организация выкладки. Открытие и закрытие кассовых смен, инкассация. Работа с покупателями в...",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,43.749709,135.298023,,
81340152,Старший помощник капитана,https://hh.ru/applicant/vacancy_response?vacancyId=81340152,full,Полная занятость,365000,367000,"Опыт работы в должности старшего помощника капитана на контейнеровозах не менее 1-го контракта. Знание английского языка на уровне, необходимом...",Погрузка/выгрузка (контейнеровоз). Несение ходовой вахты на мостике. Выполнение служебных обязанностей старшего помощника капитана в соответствии с должностной инструкцией. ,between1And3,От 1 года до 3 лет,2493014,Транзит,,,,
